Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Cleveland Cavaliers;Golden State Warriors;1xBet;+140;-147;09 Jun 2018; 85;108;2017-2018
Cleveland Cavaliers;Golden State Warriors;bet-at-home;+137;-175;09 Jun 2018; 85;108;2017-2018
Cleveland Cavaliers;Golden State Warriors;bet365;+150;-172;09 Jun 2018; 85;108;2017-2018
Cleveland Cavaliers;Golden State Warriors;bwin;+145;-175;09 Jun 2018; 85;108;2017-2018
Cleveland Cavaliers;Golden State Warriors;Coolbet;+143;-156;09 Jun 2018; 85;108;2017-2018
Cleveland Cavaliers;Golden State Warriors;Marathonbet;+143;-152;09 Jun 2018; 85;108;2017-2018
Cleveland Cavaliers;Golden State Warriors;Pinnacle;+142;-156;09 Jun 2018; 85;108;2017-2018
Cleveland Cavaliers;Golden State Warriors;Unibet;+143;-167;09 Jun 2018; 85;108;2017-2018
Cleveland Cavaliers;Golden State Warriors;William Hill;+150;-169;09 Jun 2018; 85;108;2017-2018
Utah Jazz;Oklahoma City Thunder;1xBet;-185;+172;24 Apr 2018;113;96 ;2017-2018
Utah Jazz;Oklahoma City Thunder;bet-at-home;-213;+163;24 Apr 2018;113;96 ;2017-2018
Utah Jazz;Oklahoma City Thunder;bet365;-213;+175;24 Apr 2018;113;96 ;2017-2018
Utah Jazz;Oklahoma City Thunder;bwin;-208;+170;24 Apr 2018;113;96 ;2017-2018
Utah Jazz;Oklahoma City Thunder;Coolbet;-217;+179;24 Apr 2018;113;96 ;2017-2018
Utah Jazz;Oklahoma City Thunder;Marathonbet;-192;+175;24 Apr 2018;113;96 ;2017-2018
Utah Jazz;Oklahoma City Thunder;Pinnacle;-192;+172;24 Apr 2018;113;96 ;2017-2018
Utah Jazz;Oklahoma City Thunder;Unibet;-208;+175;24 Apr 2018;113;96 ;2017-2018
Utah Jazz;Oklahoma City Thunder;William Hill;-208;+175;24 Apr 2018;113;96 ;2017-2018
Chicago Bulls;Charlotte Hornets;1xBet;+188;-204;04 Apr 2018;120;114;2017-2018
Chicago Bulls;Charlotte Hornets;bet-at-home;+172;-227;04 Apr 2018;120;114;2017-2018
Chicago Bulls;Charlotte Hornets;bet365;+190;-233;04 Apr 2018;120;114;2017-2018
Chicago Bulls;Charlotte Hornets;bwin;+170;-208;04 Apr 2018;120;114;2017-2018
Chicago Bulls;Charlotte Hornets;Coolbet;+200;-227;04 Apr 2018;120;114;2017-2018
Chicago Bulls;Charlotte Hornets;Marathonbet;+190;-208;04 Apr 2018;120;114;2017-2018
Chicago Bulls;Charlotte Hornets;Pinnacle;+191;-213;04 Apr 2018;120;114;2017-2018
Chicago Bulls;Charlotte Hornets;Unibet;+170;-204;04 Apr 2018;120;114;2017-2018
Chicago Bulls;Charlotte Hornets;William Hill;+200;-238;04 Apr 2018;120;114;2017-2018
Houston Rockets;Chicago Bulls;1xBet;-1000;+860;28 Mar 2018;118;86 ;2017-2018
Houston Rockets;Chicago Bulls;bet-at-home;-1667;+741;28 Mar 2018;118;86 ;2017-2018
Houston Rockets;Chicago Bulls;bet365;-1667;+900;28 Mar 2018;118;86 ;2017-2018
Houston Rockets;Chicago Bulls;bwin;-1667;+850;28 Mar 2018;118;86 ;2017-2018
Houston Rockets;Chicago Bulls;Coolbet;-1429;+950;28 Mar 2018;118;86 ;2017-2018
Houston Rockets;Chicago Bulls;Marathonbet;-1000;+840;28 Mar 2018;118;86 ;2017-2018
Houston Rockets;Chicago Bulls;Pinnacle;-1250;+916;28 Mar 2018;118;86 ;2017-2018
Houston Rockets;Chicago Bulls;Unibet;-1429;+950;28 Mar 2018;118;86 ;2017-2018
Houston Rockets;Chicago Bulls;William Hill;-1667;+900;28 Mar 2018;118;86 ;2017-2018
Phoenix Suns;Detroit Pistons;1xBet;+244;-286;21 Mar 2018; 88;115;2017-2018
Phoenix Suns;Detroit Pistons;bet-at-home;+239;-323;21 Mar 2018; 88;115;2017-2018
Phoenix Suns;Detroit Pistons;bet365;+240;-303;21 Mar 2018; 88;115;2017-2018
Phoenix Suns;Detroit Pistons;bwin;+210;-278;21 Mar 2018; 88;115;2017-2018
Phoenix Suns;Detroit Pistons;Coolbet;+260;-303;21 Mar 2018; 88;115;2017-2018
Phoenix Suns;Detroit Pistons;Marathonbet;+258;-286;21 Mar 2018; 88;115;2017-2018
Phoenix Suns;Detroit Pistons;Pinnacle;+254;-286;21 Mar 2018; 88;115;2017-2018
Phoenix Suns;Detroit Pistons;Unibet;+254;-312;21 Mar 2018; 88;115;2017-2018
Phoenix Suns;Detroit Pistons;William Hill;+260;-323;21 Mar 2018; 88;115;2017-2018
Utah Jazz;Detroit Pistons;1xBet;-400;+332;14 Mar 2018;110;79 ;2017-2018
Utah Jazz;Detroit Pistons;bet-at-home;-455;+311;14 Mar 2018;110;79 ;2017-2018
Utah Jazz;Detroit Pistons;bet365;-400;+320;14 Mar 2018;110;79 ;2017-2018
Utah Jazz;Detroit Pistons;bwin;-400;+309;14 Mar 2018;110;79 ;2017-2018
Utah Jazz;Detroit Pistons;Coolbet;-417;+330;14 Mar 2018;110;79 ;2017-2018
Utah Jazz;Detroit Pistons;Marathonbet;-385;+340;14 Mar 2018;110;79 ;2017-2018
Utah Jazz;Detroit Pistons;Pinnacle;-385;+330;14 Mar 2018;110;79 ;2017-2018
Utah Jazz;Detroit Pistons;Unibet;-455;+359;14 Mar 2018;110;79 ;2017-2018
Utah Jazz;Detroit Pistons;William Hill;-455;+325;14 Mar 2018;110;79 ;2017-2018
Detroit Pistons;Milwaukee Bucks;1xBet;-109;+100;28 Feb 2018;110;87 ;2017-2018
Detroit Pistons;Milwaukee Bucks;bet-at-home;-120;-105;28 Feb 2018;110;87 ;2017-2018
Detroit Pistons;Milwaukee Bucks;bet365;-125;+104;28 Feb 2018;110;87 ;2017-2018
Detroit Pistons;Milwaukee Bucks;bwin;-128;+104;28 Feb 2018;110;87 ;2017-2018
Detroit Pistons;Milwaukee Bucks;Coolbet;-120;+102;28 Feb 2018;110;87 ;2017-2018
Detroit Pistons;Milwaukee Bucks;Marathonbet;-111;+102;28 Feb 2018;110;87 ;2017-2018
Detroit Pistons;Milwaukee Bucks;Pinnacle;-111;+100;28 Feb 2018;110;87 ;2017-2018
Detroit Pistons;Milwaukee Bucks;Unibet;-120;+102;28 Feb 2018;110;87 ;2017-2018
Detroit Pistons;Milwaukee Bucks;William Hill;-120;+100;28 Feb 2018;110;87 ;2017-2018
Milwaukee Bucks;Denver Nuggets;1xBet;-130;+121;16 Feb 2018;123;134;2017-2018
Milwaukee Bucks;Denver Nuggets;bet-at-home;-135;+106;16 Feb 2018;123;134;2017-2018
Milwaukee Bucks;Denver Nuggets;bet365;-141;+120;16 Feb 2018;123;134;2017-2018
Milwaukee Bucks;Denver Nuggets;bwin;-139;+114;16 Feb 2018;123;134;2017-2018
Milwaukee Bucks;Denver Nuggets;Coolbet;-139;+118;16 Feb 2018;123;134;2017-2018
Milwaukee Bucks;Denver Nuggets;Marathonbet;-127;+117;16 Feb 2018;123;134;2017-2018
Milwaukee Bucks;Denver Nuggets;Pinnacle;-125;+112;16 Feb 2018;123;134;2017-2018
Milwaukee Bucks;Denver Nuggets;Unibet;-139;+117;16 Feb 2018;123;134;2017-2018
Milwaukee Bucks;Denver Nuggets;William Hill;-141;+120;16 Feb 2018;123;134;2017-2018
Golden State Warriors;Dallas Mavericks;1xBet;-1250;+950;09 Feb 2018;121;103;2017-2018
Golden State Warriors;Dallas Mavericks;bet-at-home;-2000;+798;09 Feb 2018;121;103;2017-2018
Golden State Warriors;Dallas Mavericks;bet365;-1429;+850;09 Feb 2018;121;103;2017-2018
Golden State Warriors;Dallas Mavericks;bwin;-1111;+650;09 Feb 2018;121;103;2017-2018
Golden State Warriors;Dallas Mavericks;Coolbet;-1429;+850;09 Feb 2018;121;103;2017-2018
Golden State Warriors;Dallas Mavericks;Marathonbet;-1111;+900;09 Feb 2018;121;103;2017-2018
Golden State Warriors;Dallas Mavericks;Pinnacle;-1250;+911;09 Feb 2018;121;103;2017-2018
Golden State Warriors;Dallas Mavericks;Unibet;-1429;+950;09 Feb 2018;121;103;2017-2018
Golden State Warriors;Dallas Mavericks;William Hill;-1429;+800;09 Feb 2018;121;103;2017-2018
Charlotte Hornets;Atlanta Hawks;1xBet;-294;+244;26 Jan 2018;121;110;2017-2018
Charlotte Hornets;Atlanta Hawks;bet-at-home;-323;+239;26 Jan 2018;121;110;2017-2018
Charlotte Hornets;Atlanta Hawks;bet365;-303;+240;26 Jan 2018;121;110;2017-2018
Charlotte Hornets;Atlanta Hawks;bwin;-303;+240;26 Jan 2018;121;110;2017-2018
Charlotte Hornets;Atlanta Hawks;Coolbet;-294;+240;26 Jan 2018;121;110;2017-2018
Charlotte Hornets;Atlanta Hawks;Marathonbet;-278;+248;26 Jan 2018;121;110;2017-2018
Charlotte Hornets;Atlanta Hawks;Pinnacle;-278;+248;26 Jan 2018;121;110;2017-2018
Charlotte Hornets;Atlanta Hawks;Unibet;-263;+215;26 Jan 2018;121;110;2017-2018
Charlotte Hornets;Atlanta Hawks;William Hill;-303;+250;26 Jan 2018;121;110;2017-2018
Houston Rockets;Golden State Warriors;1xBet;+125;-143;21 Jan 2018;116;108;2017-2018
Houston Rockets;Golden State Warriors;bet-at-home;+112;-145;21 Jan 2018;116;108;2017-2018
Houston Rockets;Golden State Warriors;bet365;+125;-147;21 Jan 2018;116;108;2017-2018
Houston Rockets;Golden State Warriors;bwin;+125;-154;21 Jan 2018;116;108;2017-2018
Houston Rockets;Golden State Warriors;Coolbet;+131;-161;21 Jan 2018;116;108;2017-2018
Houston Rockets;Golden State Warriors;Marathonbet;+127;-137;21 Jan 2018;116;108;2017-2018
Houston Rockets;Golden State Warriors;Pinnacle;+124;-137;21 Jan 2018;116;108;2017-2018
Houston Rockets;Golden State Warriors;Unibet;+117;-139;21 Jan 2018;116;108;2017-2018
Houston Rockets;Golden State Warriors;William Hill;+125;-145;21 Jan 2018;116;108;2017-2018
Boston Celtics;Philadelphia 76ers;1xBet;-147;+137;18 Jan 2018; 80;89 ;2017-2018
Boston Celtics;Philadelphia 76ers;bet-at-home;-154;+120;18 Jan 2018; 80;89 ;2017-2018
Boston Celtics;Philadelphia 76ers;bet365;-147;+125;18 Jan 2018; 80;89 ;2017-2018
Boston Celtics;Philadelphia 76ers;bwin;-149;+125;18 Jan 2018; 80;89 ;2017-2018
