Home_id;Away_id;Bookmaker;OddHome;OddAway;Date;Score_home;Score_away;Season
Brooklyn Nets;Boston Celtics;10x10bet;-127;+102;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;1xBet;-112;+106;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;bet-at-home;-122;+100;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;bet365;-120;+100;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;BetFinal;-114;+112;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;bwin;-125;+104;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;Coolbet;-120;+102;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;Curebet;-123;+104;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;Ditobet;-119;+110;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;GGBET;-118;-101;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;Lasbet;-120;+106;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;Marathonbet;-111;+110;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;N1 Bet;-120;+102;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;Parimatch;-125;+100;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;Pinnacle;-120;+108;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;Unibet;-120;+102;25 Apr 2022;112;116;CurrentSeason
Brooklyn Nets;Boston Celtics;William Hill;-120;+100;25 Apr 2022;112;116;CurrentSeason
Charlotte Hornets;Washington Wizards;10x10bet;-909;+570;10 Apr 2022;124;108;CurrentSeason
Charlotte Hornets;Washington Wizards;1xBet;-667;+575;10 Apr 2022;124;108;CurrentSeason
Charlotte Hornets;Washington Wizards;bet-at-home;-1111;+600;10 Apr 2022;124;108;CurrentSeason
Charlotte Hornets;Washington Wizards;bet365;-909;+600;10 Apr 2022;124;108;CurrentSeason
Charlotte Hornets;Washington Wizards;BetFinal;-556;+400;10 Apr 2022;124;108;CurrentSeason
Charlotte Hornets;Washington Wizards;bwin;-833;+550;10 Apr 2022;124;108;CurrentSeason
Charlotte Hornets;Washington Wizards;Coolbet;-909;+620;10 Apr 2022;124;108;CurrentSeason
Charlotte Hornets;Washington Wizards;Curebet;-909;+610;10 Apr 2022;124;108;CurrentSeason
Charlotte Hornets;Washington Wizards;Ditobet;-833;+685;10 Apr 2022;124;108;CurrentSeason
Charlotte Hornets;Washington Wizards;GGBET;-909;+607;10 Apr 2022;124;108;CurrentSeason
Charlotte Hornets;Washington Wizards;Lasbet;-833;+625;10 Apr 2022;124;108;CurrentSeason
