index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Golden State Warriors - Cleveland Cavaliers;bet-at-home;-526;+359;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
1;Golden State Warriors - Cleveland Cavaliers;bet365;-500;+375;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
2;Golden State Warriors - Cleveland Cavaliers;bwin;-417;+370;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
3;Golden State Warriors - Cleveland Cavaliers;Marathonbet;-370;+340;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
4;Golden State Warriors - Cleveland Cavaliers;Pinnacle;-455;+390;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
5;Golden State Warriors - Cleveland Cavaliers;Unibet;-476;+380;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
6;Golden State Warriors - Cleveland Cavaliers;William Hill;-500;+350;Monday, 15 Jun 2015, 00:00;Final result 104:91 (22:22, 29:28, 22:17, 31:24);1;Golden State Warriors;Cleveland Cavaliers;15 Jun 2015;104;91 ;2014-2015
29;Chicago Bulls - Cleveland Cavaliers;bet-at-home;-137;+106;Friday, 15 May 2015, 00:00;Final result 73:94 (31:33, 13:25, 16:15, 13:21);1;Chicago Bulls;Cleveland Cavaliers;15 May 2015; 73;94 ;2014-2015
30;Chicago Bulls - Cleveland Cavaliers;bet365;-141;+120;Friday, 15 May 2015, 00:00;Final result 73:94 (31:33, 13:25, 16:15, 13:21);1;Chicago Bulls;Cleveland Cavaliers;15 May 2015; 73;94 ;2014-2015
31;Chicago Bulls - Cleveland Cavaliers;bwin;-125;+114;Friday, 15 May 2015, 00:00;Final result 73:94 (31:33, 13:25, 16:15, 13:21);1;Chicago Bulls;Cleveland Cavaliers;15 May 2015; 73;94 ;2014-2015
32;Chicago Bulls - Cleveland Cavaliers;Marathonbet;-133;+123;Friday, 15 May 2015, 00:00;Final result 73:94 (31:33, 13:25, 16:15, 13:21);1;Chicago Bulls;Cleveland Cavaliers;15 May 2015; 73;94 ;2014-2015
33;Chicago Bulls - Cleveland Cavaliers;Pinnacle;-135;+122;Friday, 15 May 2015, 00:00;Final result 73:94 (31:33, 13:25, 16:15, 13:21);1;Chicago Bulls;Cleveland Cavaliers;15 May 2015; 73;94 ;2014-2015
34;Chicago Bulls - Cleveland Cavaliers;Unibet;-135;+114;Friday, 15 May 2015, 00:00;Final result 73:94 (31:33, 13:25, 16:15, 13:21);1;Chicago Bulls;Cleveland Cavaliers;15 May 2015; 73;94 ;2014-2015
35;Chicago Bulls - Cleveland Cavaliers;William Hill;-141;+120;Friday, 15 May 2015, 00:00;Final result 73:94 (31:33, 13:25, 16:15, 13:21);1;Chicago Bulls;Cleveland Cavaliers;15 May 2015; 73;94 ;2014-2015
58;Cleveland Cavaliers - Boston Celtics;bet-at-home;-1000;+555;Sunday, 19 Apr 2015, 19:00;Final result 113:100 (27:31, 35:23, 29:22, 22:24);1;Cleveland Cavaliers;Boston Celtics;19 Apr 2015;113;100;2014-2015
59;Cleveland Cavaliers - Boston Celtics;bet365;-1000;+650;Sunday, 19 Apr 2015, 19:00;Final result 113:100 (27:31, 35:23, 29:22, 22:24);1;Cleveland Cavaliers;Boston Celtics;19 Apr 2015;113;100;2014-2015
60;Cleveland Cavaliers - Boston Celtics;bwin;-1000;+650;Sunday, 19 Apr 2015, 19:00;Final result 113:100 (27:31, 35:23, 29:22, 22:24);1;Cleveland Cavaliers;Boston Celtics;19 Apr 2015;113;100;2014-2015
61;Cleveland Cavaliers - Boston Celtics;Marathonbet;-909;+740;Sunday, 19 Apr 2015, 19:00;Final result 113:100 (27:31, 35:23, 29:22, 22:24);1;Cleveland Cavaliers;Boston Celtics;19 Apr 2015;113;100;2014-2015
62;Cleveland Cavaliers - Boston Celtics;Pinnacle;-909;+726;Sunday, 19 Apr 2015, 19:00;Final result 113:100 (27:31, 35:23, 29:22, 22:24);1;Cleveland Cavaliers;Boston Celtics;19 Apr 2015;113;100;2014-2015
63;Cleveland Cavaliers - Boston Celtics;Unibet;-1111;+700;Sunday, 19 Apr 2015, 19:00;Final result 113:100 (27:31, 35:23, 29:22, 22:24);1;Cleveland Cavaliers;Boston Celtics;19 Apr 2015;113;100;2014-2015
64;Cleveland Cavaliers - Boston Celtics;William Hill;-1000;+650;Sunday, 19 Apr 2015, 19:00;Final result 113:100 (27:31, 35:23, 29:22, 22:24);1;Cleveland Cavaliers;Boston Celtics;19 Apr 2015;113;100;2014-2015
87;Chicago Bulls - Milwaukee Bucks;bet-at-home;-370;+269;Saturday, 18 Apr 2015, 23:00;Final result 103:91 (30:29, 30:22, 26:24, 17:16);1;Chicago Bulls;Milwaukee Bucks;18 Apr 2015;103;91 ;2014-2015
88;Chicago Bulls - Milwaukee Bucks;bet365;-435;+325;Saturday, 18 Apr 2015, 23:00;Final result 103:91 (30:29, 30:22, 26:24, 17:16);1;Chicago Bulls;Milwaukee Bucks;18 Apr 2015;103;91 ;2014-2015
89;Chicago Bulls - Milwaukee Bucks;bwin;-400;+309;Saturday, 18 Apr 2015, 23:00;Final result 103:91 (30:29, 30:22, 26:24, 17:16);1;Chicago Bulls;Milwaukee Bucks;18 Apr 2015;103;91 ;2014-2015
90;Chicago Bulls - Milwaukee Bucks;Marathonbet;-435;+380;Saturday, 18 Apr 2015, 23:00;Final result 103:91 (30:29, 30:22, 26:24, 17:16);1;Chicago Bulls;Milwaukee Bucks;18 Apr 2015;103;91 ;2014-2015
91;Chicago Bulls - Milwaukee Bucks;Pinnacle;-400;+342;Saturday, 18 Apr 2015, 23:00;Final result 103:91 (30:29, 30:22, 26:24, 17:16);1;Chicago Bulls;Milwaukee Bucks;18 Apr 2015;103;91 ;2014-2015
92;Chicago Bulls - Milwaukee Bucks;Unibet;-385;+300;Saturday, 18 Apr 2015, 23:00;Final result 103:91 (30:29, 30:22, 26:24, 17:16);1;Chicago Bulls;Milwaukee Bucks;18 Apr 2015;103;91 ;2014-2015
93;Chicago Bulls - Milwaukee Bucks;William Hill;-400;+300;Saturday, 18 Apr 2015, 23:00;Final result 103:91 (30:29, 30:22, 26:24, 17:16);1;Chicago Bulls;Milwaukee Bucks;18 Apr 2015;103;91 ;2014-2015
116;Houston Rockets - San Antonio Spurs;bet-at-home;+135;-172;Saturday, 11 Apr 2015, 00:00;Final result 103:104 (30:23, 18:23, 27:34, 28:24);1;Houston Rockets;San Antonio Spurs;11 Apr 2015;103;104;2014-2015
117;Houston Rockets - San Antonio Spurs;bet365;+140;-161;Saturday, 11 Apr 2015, 00:00;Final result 103:104 (30:23, 18:23, 27:34, 28:24);1;Houston Rockets;San Antonio Spurs;11 Apr 2015;103;104;2014-2015
118;Houston Rockets - San Antonio Spurs;bwin;+140;-167;Saturday, 11 Apr 2015, 00:00;Final result 103:104 (30:23, 18:23, 27:34, 28:24);1;Houston Rockets;San Antonio Spurs;11 Apr 2015;103;104;2014-2015
119;Houston Rockets - San Antonio Spurs;Marathonbet;+144;-156;Saturday, 11 Apr 2015, 00:00;Final result 103:104 (30:23, 18:23, 27:34, 28:24);1;Houston Rockets;San Antonio Spurs;11 Apr 2015;103;104;2014-2015
120;Houston Rockets - San Antonio Spurs;Pinnacle;+146;-161;Saturday, 11 Apr 2015, 00:00;Final result 103:104 (30:23, 18:23, 27:34, 28:24);1;Houston Rockets;San Antonio Spurs;11 Apr 2015;103;104;2014-2015
121;Houston Rockets - San Antonio Spurs;Unibet;+145;-175;Saturday, 11 Apr 2015, 00:00;Final result 103:104 (30:23, 18:23, 27:34, 28:24);1;Houston Rockets;San Antonio Spurs;11 Apr 2015;103;104;2014-2015
122;Houston Rockets - San Antonio Spurs;William Hill;+145;-164;Saturday, 11 Apr 2015, 00:00;Final result 103:104 (30:23, 18:23, 27:34, 28:24);1;Houston Rockets;San Antonio Spurs;11 Apr 2015;103;104;2014-2015
145;Oklahoma City Thunder - Sacramento Kings;bet-at-home;-1667;+771;Saturday, 11 Apr 2015, 00:00;Final result 116:103 (34:24, 23:25, 25:27, 34:27);1;Oklahoma City Thunder;Sacramento Kings;11 Apr 2015;116;103;2014-2015
146;Oklahoma City Thunder - Sacramento Kings;bet365;-2000;+1000;Saturday, 11 Apr 2015, 00:00;Final result 116:103 (34:24, 23:25, 25:27, 34:27);1;Oklahoma City Thunder;Sacramento Kings;11 Apr 2015;116;103;2014-2015
147;Oklahoma City Thunder - Sacramento Kings;bwin;-1667;+900;Saturday, 11 Apr 2015, 00:00;Final result 116:103 (34:24, 23:25, 25:27, 34:27);1;Oklahoma City Thunder;Sacramento Kings;11 Apr 2015;116;103;2014-2015
148;Oklahoma City Thunder - Sacramento Kings;Marathonbet;-1111;+869;Saturday, 11 Apr 2015, 00:00;Final result 116:103 (34:24, 23:25, 25:27, 34:27);1;Oklahoma City Thunder;Sacramento Kings;11 Apr 2015;116;103;2014-2015
149;Oklahoma City Thunder - Sacramento Kings;Pinnacle;-1667;+1075;Saturday, 11 Apr 2015, 00:00;Final result 116:103 (34:24, 23:25, 25:27, 34:27);1;Oklahoma City Thunder;Sacramento Kings;11 Apr 2015;116;103;2014-2015
150;Oklahoma City Thunder - Sacramento Kings;Unibet;-1250;+850;Saturday, 11 Apr 2015, 00:00;Final result 116:103 (34:24, 23:25, 25:27, 34:27);1;Oklahoma City Thunder;Sacramento Kings;11 Apr 2015;116;103;2014-2015
151;Oklahoma City Thunder - Sacramento Kings;William Hill;-1667;+900;Saturday, 11 Apr 2015, 00:00;Final result 116:103 (34:24, 23:25, 25:27, 34:27);1;Oklahoma City Thunder;Sacramento Kings;11 Apr 2015;116;103;2014-2015
174;Atlanta Hawks - New York Knicks;bet-at-home;-3333;+1010;Monday, 13 Apr 2015, 23:30;Final result 108:112 (28:32, 21:30, 29:21, 30:29);1;Atlanta Hawks;New York Knicks;13 Apr 2015;108;112;2014-2015
175;Atlanta Hawks - New York Knicks;bet365;-2500;+1250;Monday, 13 Apr 2015, 23:30;Final result 108:112 (28:32, 21:30, 29:21, 30:29);1;Atlanta Hawks;New York Knicks;13 Apr 2015;108;112;2014-2015
176;Atlanta Hawks - New York Knicks;bwin;-2000;+1000;Monday, 13 Apr 2015, 23:30;Final result 108:112 (28:32, 21:30, 29:21, 30:29);1;Atlanta Hawks;New York Knicks;13 Apr 2015;108;112;2014-2015
177;Atlanta Hawks - New York Knicks;Marathonbet;-1429;+1050;Monday, 13 Apr 2015, 23:30;Final result 108:112 (28:32, 21:30, 29:21, 30:29);1;Atlanta Hawks;New York Knicks;13 Apr 2015;108;112;2014-2015
178;Atlanta Hawks - New York Knicks;Pinnacle;-2000;+1200;Monday, 13 Apr 2015, 23:30;Final result 108:112 (28:32, 21:30, 29:21, 30:29);1;Atlanta Hawks;New York Knicks;13 Apr 2015;108;112;2014-2015
179;Atlanta Hawks - New York Knicks;Unibet;-2500;+1200;Monday, 13 Apr 2015, 23:30;Final result 108:112 (28:32, 21:30, 29:21, 30:29);1;Atlanta Hawks;New York Knicks;13 Apr 2015;108;112;2014-2015
180;Atlanta Hawks - New York Knicks;William Hill;-2000;+1000;Monday, 13 Apr 2015, 23:30;Final result 108:112 (28:32, 21:30, 29:21, 30:29);1;Atlanta Hawks;New York Knicks;13 Apr 2015;108;112;2014-2015
203;New York Knicks - Milwaukee Bucks;bet-at-home;+462;-769;Friday, 10 Apr 2015, 23:30;Final result 91:99 (21:28, 28:24, 16:29, 26:18);1;New York Knicks;Milwaukee Bucks;10 Apr 2015; 91;99 ;2014-2015
204;New York Knicks - Milwaukee Bucks;bet365;+525;-833;Friday, 10 Apr 2015, 23:30;Final result 91:99 (21:28, 28:24, 16:29, 26:18);1;New York Knicks;Milwaukee Bucks;10 Apr 2015; 91;99 ;2014-2015
205;New York Knicks - Milwaukee Bucks;bwin;+550;-833;Friday, 10 Apr 2015, 23:30;Final result 91:99 (21:28, 28:24, 16:29, 26:18);1;New York Knicks;Milwaukee Bucks;10 Apr 2015; 91;99 ;2014-2015
206;New York Knicks - Milwaukee Bucks;Marathonbet;+530;-625;Friday, 10 Apr 2015, 23:30;Final result 91:99 (21:28, 28:24, 16:29, 26:18);1;New York Knicks;Milwaukee Bucks;10 Apr 2015; 91;99 ;2014-2015
207;New York Knicks - Milwaukee Bucks;Pinnacle;+552;-667;Friday, 10 Apr 2015, 23:30;Final result 91:99 (21:28, 28:24, 16:29, 26:18);1;New York Knicks;Milwaukee Bucks;10 Apr 2015; 91;99 ;2014-2015
208;New York Knicks - Milwaukee Bucks;Unibet;+509;-714;Friday, 10 Apr 2015, 23:30;Final result 91:99 (21:28, 28:24, 16:29, 26:18);1;New York Knicks;Milwaukee Bucks;10 Apr 2015; 91;99 ;2014-2015
209;New York Knicks - Milwaukee Bucks;William Hill;+520;-769;Friday, 10 Apr 2015, 23:30;Final result 91:99 (21:28, 28:24, 16:29, 26:18);1;New York Knicks;Milwaukee Bucks;10 Apr 2015; 91;99 ;2014-2015
232;Chicago Bulls - Detroit Pistons;bet-at-home;-526;+351;Saturday, 04 Apr 2015, 00:00;Final result 88:82 (25:26, 22:9, 12:24, 29:23);1;Chicago Bulls;Detroit Pistons;04 Apr 2015; 88;82 ;2014-2015
233;Chicago Bulls - Detroit Pistons;bet365;-526;+400;Saturday, 04 Apr 2015, 00:00;Final result 88:82 (25:26, 22:9, 12:24, 29:23);1;Chicago Bulls;Detroit Pistons;04 Apr 2015; 88;82 ;2014-2015
